epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,13405.3,1.74091,1.03165,1.40294,0.55588,0.21053,0.2036,0.0833,2.04614,1.52398,1.78298,0.000304021,0.000304021,0.000304021
60,13643.9,1.68004,1.00874,1.36471,0.51805,0.19971,0.18656,0.07584,2.08427,1.60141,1.81364,0.000296953,0.000296953,0.000296953
61,13885.2,1.71513,1.01749,1.37596,0.54995,0.18103,0.18639,0.08083,2.07307,1.58674,1.81088,0.000289884,0.000289884,0.000289884
62,14125.4,1.68207,0.99708,1.38268,0.67481,0.18935,0.21111,0.08439,1.99928,1.52823,1.75909,0.000282815,0.000282815,0.000282815
63,14371.1,1.68539,0.97854,1.35543,0.73281,0.18923,0.19836,0.08189,2.05983,1.58197,1.79471,0.000275747,0.000275747,0.000275747
64,14617.9,1.70999,0.99532,1.37016,0.61353,0.18527,0.1815,0.07567,2.03207,1.61902,1.77394,0.000268678,0.000268678,0.000268678
65,14855,1.65356,0.97524,1.33677,0.67248,0.17444,0.18718,0.0822,2.02075,1.54869,1.77004,0.00026161,0.00026161,0.00026161
66,15099.4,1.68623,1.00343,1.36539,0.57817,0.18363,0.19845,0.08439,2.01649,1.51199,1.74153,0.000254541,0.000254541,0.000254541
67,15338.2,1.68069,0.99086,1.3988,0.54612,0.20881,0.20246,0.08573,2.02776,1.5165,1.76177,0.000247472,0.000247472,0.000247472
68,15578.9,1.66421,0.96424,1.35819,0.57609,0.19818,0.19673,0.08449,2.02266,1.50384,1.77147,0.000240404,0.000240404,0.000240404
69,15813.4,1.68786,0.99638,1.36417,0.54776,0.23165,0.19917,0.08615,2.00495,1.48176,1.75582,0.000233335,0.000233335,0.000233335
70,16049.8,1.65983,0.96031,1.33618,0.63409,0.19245,0.21564,0.09171,1.9824,1.49199,1.73529,0.000226267,0.000226267,0.000226267
71,16287.9,1.63739,0.96491,1.34474,0.53603,0.21721,0.21399,0.09154,1.98995,1.49322,1.73159,0.000219198,0.000219198,0.000219198
72,16526.7,1.65628,0.96588,1.34299,0.52949,0.1894,0.19927,0.08377,2.01703,1.50335,1.75295,0.000212129,0.000212129,0.000212129
73,16764.4,1.66549,0.99121,1.36618,0.52075,0.20812,0.19724,0.08328,2.01079,1.49206,1.75196,0.000205061,0.000205061,0.000205061
74,16998.7,1.6527,0.9595,1.33225,0.56239,0.22306,0.20782,0.08586,2.01441,1.5183,1.75334,0.000197992,0.000197992,0.000197992
75,17234.8,1.62387,0.95526,1.33229,0.64718,0.20652,0.20838,0.08354,1.99713,1.51624,1.73616,0.000190924,0.000190924,0.000190924
76,17472.9,1.62603,0.96429,1.33201,0.67692,0.21791,0.22021,0.09318,1.97594,1.46989,1.72893,0.000183855,0.000183855,0.000183855
77,17712.2,1.62752,0.93149,1.33868,0.67769,0.21004,0.20494,0.08361,2.05739,1.49376,1.76572,0.000176786,0.000176786,0.000176786
78,17946.4,1.62933,0.95269,1.32418,0.68171,0.21653,0.21159,0.08967,2.01589,1.48712,1.74872,0.000169718,0.000169718,0.000169718
79,18181.9,1.62817,0.94719,1.31709,0.66282,0.21034,0.20771,0.09053,1.9644,1.4553,1.71787,0.000162649,0.000162649,0.000162649
80,18419.2,1.66063,0.98539,1.33776,0.67933,0.19257,0.2077,0.09106,1.99675,1.48502,1.73364,0.000155581,0.000155581,0.000155581
81,18660.5,1.62822,0.93175,1.32511,0.5556,0.22547,0.22055,0.096,1.97527,1.48343,1.72679,0.000148512,0.000148512,0.000148512
82,18896.9,1.60801,0.92414,1.31943,0.67807,0.20445,0.21587,0.09083,1.99118,1.48627,1.74039,0.000141443,0.000141443,0.000141443
83,19130.1,1.62335,0.9561,1.33841,0.6578,0.22939,0.21509,0.09293,1.9996,1.48732,1.73469,0.000134375,0.000134375,0.000134375
84,19367.3,1.6264,0.93465,1.31458,0.67619,0.20794,0.21776,0.08772,2.00408,1.4723,1.72777,0.000127306,0.000127306,0.000127306
85,19607.3,1.60037,0.91356,1.31088,0.67384,0.21629,0.22207,0.09439,1.96497,1.45313,1.71369,0.000120238,0.000120238,0.000120238
86,19845.7,1.61247,0.93561,1.31953,0.67925,0.23046,0.22605,0.09728,1.99121,1.46739,1.738,0.000113169,0.000113169,0.000113169
87,20079.1,1.61218,0.93622,1.31298,0.6548,0.23294,0.22633,0.09633,1.98494,1.461,1.72036,0.0001061,0.0001061,0.0001061
88,20315.2,1.59575,0.93308,1.3087,0.70199,0.22531,0.23071,0.09755,2.03241,1.45894,1.76964,9.90318e-05,9.90318e-05,9.90318e-05
89,20555.1,1.60018,0.92804,1.30099,0.69084,0.22646,0.23175,0.09806,2.00692,1.44886,1.74885,9.19632e-05,9.19632e-05,9.19632e-05
90,20795.3,1.56211,0.89877,1.29016,0.67822,0.2238,0.22558,0.09556,1.98596,1.43416,1.7326,8.48946e-05,8.48946e-05,8.48946e-05
91,21030.3,1.64107,1.07466,1.36807,0.67831,0.20815,0.21722,0.0944,1.98853,1.51838,1.72003,7.7826e-05,7.7826e-05,7.7826e-05
92,21259,1.61205,1.01848,1.36564,0.66218,0.24666,0.21182,0.09001,2.04119,1.56285,1.74546,7.07574e-05,7.07574e-05,7.07574e-05
93,21492.2,1.58592,0.96345,1.32878,0.6847,0.23095,0.21933,0.09358,2.04697,1.55576,1.75353,6.36888e-05,6.36888e-05,6.36888e-05
94,21728.4,1.57664,0.95785,1.33412,0.67756,0.24788,0.22547,0.09708,2.00639,1.54853,1.72779,5.66202e-05,5.66202e-05,5.66202e-05
95,21963.6,1.56427,0.94853,1.33223,0.69965,0.23899,0.22609,0.09723,1.98821,1.53994,1.71256,4.95516e-05,4.95516e-05,4.95516e-05
96,22194.7,1.58107,0.95607,1.32792,0.69392,0.24047,0.22412,0.09806,1.99638,1.5055,1.72348,4.2483e-05,4.2483e-05,4.2483e-05
97,22425,1.58359,0.96672,1.34584,0.70161,0.23885,0.22314,0.09943,1.99013,1.48682,1.72018,3.54144e-05,3.54144e-05,3.54144e-05
98,22660.9,1.58337,0.99387,1.34433,0.70034,0.2369,0.225,0.10105,1.97455,1.4917,1.71392,2.83458e-05,2.83458e-05,2.83458e-05
99,22895.4,1.57534,0.94446,1.33228,0.7155,0.23634,0.2241,0.10061,1.98334,1.48577,1.71771,2.12772e-05,2.12772e-05,2.12772e-05
100,23127.6,1.56444,0.95998,1.33839,0.71524,0.23585,0.22661,0.10077,1.98521,1.48829,1.71433,1.42086e-05,1.42086e-05,1.42086e-05
