                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                  1.575,                0.84218,                 1.2979,                0.57073,                 0.2716,                 0.2399,                0.10839,                 1.8678,                 1.3375,                 1.7047,               0.003862,               0.003862,               0.003862
                     65,                 1.5764,                0.84063,                 1.2767,                0.59423,                0.25316,                0.23889,                0.10907,                 1.8489,                 1.3566,                 1.7017,               0.003763,               0.003763,               0.003763
                     66,                 1.5568,                0.83202,                 1.2751,                 0.5816,                0.23845,                0.23204,                0.10848,                 1.8873,                 1.3113,                  1.758,               0.003664,               0.003664,               0.003664
                     67,                 1.5447,                0.84567,                 1.2627,                0.57899,                 0.2342,                 0.2284,                0.10877,                 1.8511,                 1.3389,                 1.7185,               0.003565,               0.003565,               0.003565
                     68,                 1.5484,                0.82228,                 1.2789,                 0.5684,                0.26141,                0.22142,                0.10314,                 1.9111,                 1.3729,                 1.7448,               0.003466,               0.003466,               0.003466
                     69,                 1.5687,                0.85042,                 1.2887,                0.67886,                0.19706,                0.23941,                 0.1042,                 1.9081,                 1.3869,                 1.7471,               0.003367,               0.003367,               0.003367
                     70,                 1.5622,                0.84252,                 1.2948,                0.62381,                0.22044,                  0.216,                0.10165,                 1.9016,                 1.4057,                 1.7505,               0.003268,               0.003268,               0.003268
                     71,                 1.5508,                0.81801,                 1.2731,                0.67271,                0.25479,                0.22646,                0.10535,                 1.8858,                 1.3713,                 1.7341,               0.003169,               0.003169,               0.003169
                     72,                 1.5418,                0.82165,                 1.2699,                0.66441,                 0.2653,                0.26625,                0.11273,                 1.8593,                 1.3331,                 1.7144,                0.00307,                0.00307,                0.00307
                     73,                 1.5378,                0.83813,                 1.2722,                0.69066,                0.24772,                0.25317,                0.11285,                 1.8547,                 1.3573,                 1.7159,               0.002971,               0.002971,               0.002971
                     74,                 1.5502,                0.84643,                 1.3081,                0.52879,                0.21615,                0.21673,                 0.0964,                 1.8789,                 1.3796,                 1.7388,               0.002872,               0.002872,               0.002872
                     75,                 1.5303,                0.80054,                  1.264,                0.53129,                0.25977,                0.25161,                0.11196,                 1.8601,                 1.3163,                 1.7311,               0.002773,               0.002773,               0.002773
                     76,                 1.5291,                 0.8428,                 1.2655,                0.74997,                0.22772,                0.23561,                0.10903,                  1.881,                 1.3127,                 1.7426,               0.002674,               0.002674,               0.002674
                     77,                 1.5298,                0.81538,                 1.2673,                0.77617,                0.24747,                0.23943,                0.11458,                  1.828,                 1.3274,                 1.6767,               0.002575,               0.002575,               0.002575
                     78,                 1.5458,                0.81656,                 1.2755,                0.66443,                0.25374,                0.25121,                 0.1109,                 1.8655,                 1.3356,                 1.7123,               0.002476,               0.002476,               0.002476
                     79,                 1.5107,                0.79486,                 1.2553,                0.66745,                0.22995,                 0.2585,                0.11482,                 1.8627,                 1.3172,                  1.718,               0.002377,               0.002377,               0.002377
                     80,                  1.528,                 0.7957,                  1.261,                0.68034,                0.24927,                0.25391,                0.11196,                 1.8902,                  1.328,                 1.7725,               0.002278,               0.002278,               0.002278
                     81,                 1.5144,                0.81867,                  1.274,                0.64483,                0.23629,                0.23905,                0.10753,                  1.845,                 1.3201,                 1.7616,               0.002179,               0.002179,               0.002179
                     82,                 1.5182,                0.79143,                 1.2586,                 0.6257,                0.27503,                0.28003,                0.10986,                 1.8907,                 1.3514,                 1.7484,                0.00208,                0.00208,                0.00208
                     83,                 1.5491,                0.81527,                 1.2833,                0.60602,                0.28108,                0.26454,                0.11494,                 1.8835,                 1.3375,                  1.725,               0.001981,               0.001981,               0.001981
                     84,                  1.532,                0.79256,                 1.2372,                0.67628,                0.25709,                0.24159,                0.10867,                 1.8862,                 1.3543,                 1.7429,               0.001882,               0.001882,               0.001882
                     85,                 1.5061,                0.77273,                 1.2348,                0.54478,                0.25509,                0.24728,                 0.1077,                 1.8852,                 1.3579,                 1.7278,               0.001783,               0.001783,               0.001783
                     86,                 1.5045,                0.79936,                 1.2357,                0.65227,                0.25096,                0.26198,                0.11718,                 1.8739,                 1.3255,                 1.7456,               0.001684,               0.001684,               0.001684
                     87,                 1.5003,                0.80405,                 1.2495,                0.66937,                 0.2455,                0.26055,                0.11365,                 1.8689,                 1.2983,                 1.7333,               0.001585,               0.001585,               0.001585
                     88,                 1.5108,                0.78198,                 1.2433,                0.69209,                0.24069,                0.25929,                0.11569,                 1.8796,                 1.3116,                 1.7384,               0.001486,               0.001486,               0.001486
                     89,                 1.5052,                0.79534,                 1.2529,                0.67492,                0.23472,                0.25373,                0.11362,                 1.8835,                 1.3304,                 1.7626,               0.001387,               0.001387,               0.001387
                     90,                 1.4804,                0.76552,                 1.2347,                0.66691,                 0.2656,                0.25231,                0.11107,                 1.8587,                 1.3197,                 1.7318,               0.001288,               0.001288,               0.001288
                     91,                 1.5098,                0.81739,                 1.3202,                0.67894,                0.25684,                0.27043,                0.11896,                 1.8455,                 1.3393,                 1.7284,               0.001189,               0.001189,               0.001189
                     92,                 1.4937,                0.80943,                 1.2751,                0.58828,                0.30306,                0.25383,                0.11582,                 1.8711,                 1.3697,                 1.7697,                0.00109,                0.00109,                0.00109
                     93,                 1.4859,                0.79601,                 1.2744,                0.64344,                0.24262,                0.24844,                 0.1138,                 1.8678,                 1.3567,                 1.7726,               0.000991,               0.000991,               0.000991
                     94,                 1.4902,                0.79353,                 1.2883,                0.69881,                0.23973,                0.25116,                0.11266,                 1.8701,                 1.3397,                 1.7538,               0.000892,               0.000892,               0.000892
                     95,                 1.4684,                0.78546,                 1.2688,                0.56027,                0.28094,                0.25618,                0.11481,                 1.8919,                 1.3355,                 1.7542,               0.000793,               0.000793,               0.000793
                     96,                 1.4727,                0.77937,                 1.2717,                0.69162,                0.25829,                0.26449,                0.12218,                 1.8616,                 1.3271,                 1.7426,               0.000694,               0.000694,               0.000694
                     97,                 1.4584,                0.77585,                 1.2704,                0.69265,                0.24008,                0.25679,                0.11829,                 1.8498,                 1.3247,                 1.7395,               0.000595,               0.000595,               0.000595
                     98,                  1.466,                0.77919,                 1.2577,                0.69798,                0.22621,                0.26452,                0.11677,                 1.8501,                 1.3435,                 1.7487,               0.000496,               0.000496,               0.000496
                     99,                  1.474,                0.78449,                 1.2887,                0.57331,                0.24191,                0.25832,                0.11889,                 1.8542,                 1.3452,                 1.7531,               0.000397,               0.000397,               0.000397
                    100,                 1.4769,                 0.7843,                 1.2844,                0.67637,                0.23878,                0.25832,                0.11742,                 1.8603,                 1.3567,                 1.7544,               0.000298,               0.000298,               0.000298
