                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 2.7457,                0.98166,                 1.3076,                0.54709,                0.29234,                0.26573,                0.11756,                 3.9476,                 1.5739,                  1.685,               0.004159,               0.004159,               0.004159
                     62,                 2.8125,                0.97855,                 1.2901,                0.68213,                0.22712,                 0.2964,                0.12433,                 3.8829,                  1.506,                 1.6825,                0.00406,                0.00406,                0.00406
                     63,                 2.7089,                0.95397,                 1.2655,                0.61036,                0.23841,                  0.237,                0.11347,                 3.8622,                  1.524,                 1.6775,               0.003961,               0.003961,               0.003961
                     64,                 2.7415,                0.96232,                 1.2892,                0.61469,                0.25864,                0.26093,                0.11952,                 3.9043,                 1.5146,                 1.6796,               0.003862,               0.003862,               0.003862
                     65,                 2.7488,                0.95617,                 1.2629,                0.61617,                0.25716,                0.24739,                0.10965,                 4.0374,                 1.5433,                 1.6932,               0.003763,               0.003763,               0.003763
                     66,                   2.65,                0.94558,                 1.2631,                0.63729,                0.25151,                0.26266,                0.11798,                 4.0257,                 1.5158,                 1.6906,               0.003664,               0.003664,               0.003664
                     67,                 2.5952,                0.94706,                 1.2453,                0.59247,                0.26191,                0.26784,                0.11712,                 4.0084,                 1.5336,                 1.6856,               0.003565,               0.003565,               0.003565
                     68,                 2.6735,                0.93466,                 1.2664,                0.57813,                 0.2439,                0.25723,                0.12202,                 4.1687,                 1.5509,                 1.6853,               0.003466,               0.003466,               0.003466
                     69,                 2.7124,                0.95896,                 1.2718,                0.57407,                0.26684,                0.26363,                 0.1186,                 4.1692,                 1.5373,                 1.6948,               0.003367,               0.003367,               0.003367
                     70,                 2.7259,                0.96172,                 1.2817,                0.58994,                0.27237,                0.26271,                0.12338,                 4.1901,                 1.4803,                 1.6649,               0.003268,               0.003268,               0.003268
                     71,                 2.7225,                0.92747,                  1.262,                0.62053,                0.23153,                0.26537,                0.12453,                 4.2958,                 1.5247,                 1.6931,               0.003169,               0.003169,               0.003169
                     72,                 2.6472,                0.92809,                  1.257,                 0.7739,                0.23074,                0.29216,                0.12493,                 4.0279,                 1.4694,                 1.6797,                0.00307,                0.00307,                0.00307
                     73,                 2.6303,                0.94355,                 1.2592,                0.63298,                0.20568,                0.24913,                0.11702,                 4.2798,                 1.5013,                 1.6892,               0.002971,               0.002971,               0.002971
                     74,                 2.6265,                0.95862,                 1.2885,                0.45868,                 0.2741,                0.26915,                 0.1224,                 4.2906,                 1.5008,                 1.7075,               0.002872,               0.002872,               0.002872
                     75,                 2.6231,                0.90934,                 1.2513,                0.54153,                0.29323,                0.27425,                 0.1241,                 4.2218,                 1.5149,                 1.6921,               0.002773,               0.002773,               0.002773
                     76,                 2.6037,                0.94574,                 1.2554,                0.59721,                0.24866,                0.26708,                0.12474,                 4.0351,                 1.4694,                 1.6748,               0.002674,               0.002674,               0.002674
                     77,                 2.6092,                0.91864,                 1.2548,                0.73206,                 0.2589,                0.27388,                0.12984,                 3.9602,                 1.4603,                 1.6538,               0.002575,               0.002575,               0.002575
