                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.6591,                0.86994,                 1.3312,                 0.5988,                0.19901,                  0.223,                0.09117,                 2.0159,                 1.2824,                 1.8392,             0.00016265,             0.00016265,             0.00016265
                     81,                 1.6378,                0.88727,                 1.3374,                0.63347,                0.18983,                0.22358,                0.09327,                 2.0146,                 1.3005,                 1.8387,             0.00015558,             0.00015558,             0.00015558
                     82,                 1.6354,                0.85208,                 1.3243,                0.58811,                0.23805,                0.22386,                0.09042,                  2.032,                 1.3205,                 1.8418,             0.00014851,             0.00014851,             0.00014851
                     83,                 1.6924,                0.88818,                 1.3603,                0.59507,                0.22803,                0.22086,                0.09069,                 2.0328,                 1.3193,                  1.864,             0.00014144,             0.00014144,             0.00014144
                     84,                  1.668,                0.85692,                 1.3085,                0.57097,                0.23898,                0.23165,                0.09276,                 2.0355,                 1.3501,                  1.842,             0.00013437,             0.00013437,             0.00013437
                     85,                 1.6418,                0.84696,                 1.3106,                0.49023,                0.22642,                0.24822,                0.09888,                 2.0027,                 1.3033,                 1.8418,             0.00012731,             0.00012731,             0.00012731
                     86,                 1.6394,                0.86943,                 1.3052,                0.60928,                0.22073,                0.23128,                0.09217,                 2.0228,                 1.3043,                 1.8415,             0.00012024,             0.00012024,             0.00012024
                     87,                 1.6248,                0.86134,                 1.3203,                0.54643,                0.27064,                 0.2573,                 0.0978,                 2.0123,                 1.3018,                 1.8367,             0.00011317,             0.00011317,             0.00011317
                     88,                 1.6268,                0.83968,                  1.306,                0.60687,                0.24414,                0.22791,                 0.0928,                 1.9842,                 1.2874,                 1.8349,              0.0001061,              0.0001061,              0.0001061
                     89,                 1.6351,                0.86018,                 1.3236,                0.60268,                0.23757,                0.22326,                0.08927,                  2.022,                 1.3113,                 1.8549,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                 1.6116,                0.83641,                 1.3076,                0.59406,                0.25041,                  0.226,                0.09046,                 2.0088,                 1.2898,                 1.8356,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                 1.6439,                0.93257,                    1.4,                0.55151,                0.22297,                0.20902,                0.08576,                 2.0296,                 1.3352,                 1.8636,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                 1.6328,                0.89596,                 1.3602,                 0.5494,                0.23843,                0.22029,                 0.0904,                  2.046,                  1.357,                 1.8784,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                 1.6231,                0.89567,                  1.357,                0.57689,                0.23039,                0.21237,                0.08947,                 2.0211,                 1.3808,                 1.8728,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                 1.6004,                0.86704,                 1.3594,                0.59032,                0.22723,                0.20754,                 0.0885,                 2.0071,                 1.3634,                 1.8581,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                 1.5762,                0.86232,                  1.329,                0.56517,                0.24718,                0.21444,                0.08884,                 2.0372,                 1.3557,                 1.8665,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                 1.5977,                0.86949,                  1.338,                0.57264,                0.24312,                0.22188,                0.09113,                 2.0311,                 1.3438,                 1.8582,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                 1.5759,                0.86062,                 1.3392,                0.59488,                0.22869,                 0.2285,                0.09361,                 2.0286,                 1.3427,                 1.8475,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                 1.5762,                0.85913,                 1.3218,                0.59138,                 0.2254,                0.22405,                0.09286,                 2.0101,                 1.3454,                 1.8341,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                 1.5855,                0.85581,                 1.3557,                0.59306,                0.22037,                 0.2272,                0.09266,                 2.0134,                 1.3386,                 1.8416,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                 1.5814,                0.86007,                 1.3464,                0.58113,                0.21206,                0.21926,                0.09086,                 2.0225,                 1.3522,                 1.8471,             2.1277e-05,             2.1277e-05,             2.1277e-05
